Final Theme,Review_Count,Average_Sentiment_Score
Community & Neighborhood,137,4.113773722627737
Family-Focused,769,4.021953185955787
Interior Layout & Facilities,500,3.462776
Living Space & Comfort,1905,4.178534120734908
Location & Accessibility,1319,3.8139893858984077
Quality & Design,828,4.175630434782609
Technology & Equipment,85,3.638605882352941
Trust & Assurance,147,3.659972789115646
User Experience,59,3.5776186440677966
